Timestamp,Temperature
18.1.2015 klo 18.35.06,"−6,88"
18.1.2015 klo 18.40.05,"−6,88"
18.1.2015 klo 18.45.05,"−6,94"
18.1.2015 klo 18.50.05,"−7,00"
18.1.2015 klo 18.55.05,"−7,13"
18.1.2015 klo 19.00.06,"−7,13"
18.1.2015 klo 19.05.06,"−7,25"
18.1.2015 klo 19.10.06,"−7,25"
18.1.2015 klo 19.15.05,"−7,31"
18.1.2015 klo 19.20.06,"−7,38"
18.1.2015 klo 19.25.05,"−7,38"
18.1.2015 klo 19.30.06,"−7,44"
18.1.2015 klo 19.35.05,"−7,50"
18.1.2015 klo 19.40.06,"−7,56"
18.1.2015 klo 19.45.05,"−7,63"
18.1.2015 klo 19.50.05,"−7,63"
18.1.2015 klo 19.55.08,"−7,75"
18.1.2015 klo 20.00.06,"−7,81"
18.1.2015 klo 20.05.08,"−7,88"
18.1.2015 klo 20.10.06,"−7,94"
18.1.2015 klo 20.15.04,"−7,94"
18.1.2015 klo 20.20.05,"−8,06"
18.1.2015 klo 20.25.39,"−8,06"
18.1.2015 klo 20.30.07,"−8,06"
18.1.2015 klo 20.35.05,"−8,13"
18.1.2015 klo 20.40.06,"−8,19"
18.1.2015 klo 20.45.06,"−8,19"
18.1.2015 klo 20.50.05,"−8,31"
18.1.2015 klo 20.55.16,"−8,25"
18.1.2015 klo 21.00.06,"−8,38"
18.1.2015 klo 21.05.06,"−8,44"
18.1.2015 klo 21.10.06,"−8,50"
18.1.2015 klo 21.15.04,"−8,50"
18.1.2015 klo 21.20.06,"−8,50"
18.1.2015 klo 21.25.06,"−8,50"
18.1.2015 klo 21.30.06,"−8,56"
18.1.2015 klo 21.35.06,"−8,63"
18.1.2015 klo 21.40.06,"−8,56"
18.1.2015 klo 21.45.06,"−8,63"
18.1.2015 klo 21.50.06,"−8,63"
18.1.2015 klo 21.55.06,"−8,56"
18.1.2015 klo 22.00.06,"−8,50"
18.1.2015 klo 22.05.06,"−8,31"
18.1.2015 klo 22.10.06,"−8,06"
18.1.2015 klo 22.15.06,"−7,94"
18.1.2015 klo 22.20.06,"−7,94"
18.1.2015 klo 22.25.05,"−7,75"
18.1.2015 klo 22.30.06,"−7,75"
18.1.2015 klo 22.35.06,"−7,75"
18.1.2015 klo 22.40.06,"−8,13"
18.1.2015 klo 22.45.06,"−8,31"
18.1.2015 klo 22.50.06,"−8,44"
18.1.2015 klo 22.55.06,"−8,38"
18.1.2015 klo 23.00.06,"−8,25"
18.1.2015 klo 23.05.07,"−8,19"
18.1.2015 klo 23.10.07,"−8,06"
18.1.2015 klo 23.15.06,"−8,06"
18.1.2015 klo 23.20.26,"−8,06"
18.1.2015 klo 23.25.06,"−8,06"
18.1.2015 klo 23.30.06,"−8,06"
18.1.2015 klo 23.35.40,"−8,00"
18.1.2015 klo 23.40.06,"−7,81"
18.1.2015 klo 23.45.06,"−7,88"
18.1.2015 klo 23.50.06,"−7,75"
18.1.2015 klo 23.55.06,"−7,75"
19.1.2015 klo 0.00.06,"−7,69"
19.1.2015 klo 0.05.06,"−7,63"
19.1.2015 klo 0.10.06,"−7,63"
19.1.2015 klo 0.15.06,"−7,63"
19.1.2015 klo 0.20.05,"−7,50"
19.1.2015 klo 0.25.06,"−7,50"
19.1.2015 klo 0.30.06,"−7,38"
19.1.2015 klo 0.35.06,"−7,38"
19.1.2015 klo 0.40.06,"−7,38"
19.1.2015 klo 0.45.10,"−7,38"
19.1.2015 klo 0.50.06,"−7,31"
19.1.2015 klo 0.55.06,"−7,31"
19.1.2015 klo 1.00.06,"−7,31"
19.1.2015 klo 1.05.06,"−7,19"
19.1.2015 klo 1.10.06,"−7,19"
19.1.2015 klo 1.15.06,"−7,25"
19.1.2015 klo 1.20.06,"−7,13"
19.1.2015 klo 1.25.06,"−7,13"
19.1.2015 klo 1.30.07,"−7,13"
19.1.2015 klo 1.35.05,"−7,00"
19.1.2015 klo 1.40.06,"−7,00"
19.1.2015 klo 1.45.06,"−7,00"
19.1.2015 klo 1.50.07,"−6,94"
19.1.2015 klo 1.55.06,"−6,94"
19.1.2015 klo 2.00.11,"−6,94"
19.1.2015 klo 2.05.07,"−7,06"
19.1.2015 klo 2.10.06,"−7,13"
19.1.2015 klo 2.15.06,"−7,19"
19.1.2015 klo 2.20.06,"−7,25"
19.1.2015 klo 2.25.06,"−7,25"
19.1.2015 klo 2.30.06,"−7,31"
19.1.2015 klo 2.35.06,"−7,31"
19.1.2015 klo 2.40.06,"−7,38"
19.1.2015 klo 2.45.05,"−7,44"
19.1.2015 klo 2.50.06,"−7,44"
19.1.2015 klo 2.55.07,"−7,50"
19.1.2015 klo 3.00.06,"−7,50"
19.1.2015 klo 3.05.06,"−7,56"
19.1.2015 klo 3.10.06,"−7,56"
19.1.2015 klo 3.15.06,"−7,63"
19.1.2015 klo 3.20.06,"−7,94"
19.1.2015 klo 3.25.06,"−8,13"
19.1.2015 klo 3.30.06,"−8,25"
19.1.2015 klo 3.35.06,"−8,50"
19.1.2015 klo 3.40.06,"−8,69"
19.1.2015 klo 3.45.07,"−8,75"
19.1.2015 klo 3.50.06,"−8,88"
19.1.2015 klo 3.55.07,"−9,00"
19.1.2015 klo 4.00.16,"−9,13"
19.1.2015 klo 4.05.06,"−9,25"
19.1.2015 klo 4.10.05,"−9,69"
19.1.2015 klo 4.15.12,"−9,69"
19.1.2015 klo 4.20.05,"−9,81"
19.1.2015 klo 4.25.06,"−9,94"
19.1.2015 klo 4.30.05,"−9,94"
19.1.2015 klo 4.35.05,"−10,19"
19.1.2015 klo 4.40.04,"−10,31"
19.1.2015 klo 4.45.05,"−10,44"
19.1.2015 klo 4.50.05,"−10,56"
19.1.2015 klo 4.55.05,"−10,69"
19.1.2015 klo 5.00.05,"−10,75"
19.1.2015 klo 5.05.05,"−10,88"
19.1.2015 klo 5.10.05,"−11,00"
19.1.2015 klo 5.15.06,"−11,13"
19.1.2015 klo 5.20.05,"−11,25"
19.1.2015 klo 5.25.05,"−11,19"
19.1.2015 klo 5.30.05,"−11,25"
19.1.2015 klo 5.35.05,"−11,38"
19.1.2015 klo 5.40.05,"−11,44"
19.1.2015 klo 5.45.06,"−11,50"
